judge,judge_label,pool,tier,omega,omega_lo_clopper,omega_hi_clopper,omega_lo_boot,omega_hi_boot,passes_point,passes_boot_lo,n_instances,pearson_vs_mean_blind,n_anchor
baseline_gpt5,Baseline GPT-5-mini,human,raw,0.0000,0.0000,0.5218,0.0000,0.6000,False,False,30,0.7859,45
baseline_gpt5,Baseline GPT-5-mini,human,scalar,0.0000,0.0000,0.5218,0.0000,0.8000,False,False,30,0.7767,45
baseline_gpt5,Baseline GPT-5-mini,human,affine,0.0000,0.0000,0.5218,0.0000,0.8000,False,False,30,0.7740,45
baseline_gpt5,Baseline GPT-5-mini,llm,raw,0.0000,0.0000,0.5218,0.0000,0.0000,False,False,15,0.6839,45
baseline_gpt5,Baseline GPT-5-mini,llm,scalar,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,0.6693,45
baseline_gpt5,Baseline GPT-5-mini,llm,affine,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,0.6636,45
cfgB_gpt5,Config B GPT-5-mini,human,raw,0.2000,0.0051,0.7164,0.0000,0.6000,False,False,30,0.7788,45
cfgB_gpt5,Config B GPT-5-mini,human,scalar,0.0000,0.0000,0.5218,0.0000,0.8000,False,False,30,0.7636,45
cfgB_gpt5,Config B GPT-5-mini,human,affine,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,30,0.7667,45
cfgB_gpt5,Config B GPT-5-mini,llm,raw,0.0000,0.0000,0.5218,0.0000,0.0000,False,False,15,0.6826,45
cfgB_gpt5,Config B GPT-5-mini,llm,scalar,0.0000,0.0000,0.5218,0.0000,0.4000,False,False,15,0.6651,45
cfgB_gpt5,Config B GPT-5-mini,llm,affine,0.0000,0.0000,0.5218,0.0000,0.2500,False,False,15,0.6594,45
cfgB_opus,Config B Opus-4.7,human,raw,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,28,0.8073,43
cfgB_opus,Config B Opus-4.7,human,scalar,0.6000,0.1466,0.9473,0.0000,1.0000,True,False,28,0.8040,43
cfgB_opus,Config B Opus-4.7,human,affine,0.0000,0.0000,0.5218,0.0000,1.0000,False,False,28,0.7954,43
cfgB_opus,Config B Opus-4.7,llm,raw,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,15,0.8513,43
cfgB_opus,Config B Opus-4.7,llm,scalar,0.2000,0.0051,0.7164,0.0000,0.8000,False,False,15,0.8505,43
cfgB_opus,Config B Opus-4.7,llm,affine,0.2000,0.0051,0.7164,0.0000,0.6000,False,False,15,0.8506,43
cfgB_gemini,Config B Gemini-3.1-Pro,human,raw,0.4000,0.0527,0.8534,0.0000,0.8000,False,False,30,0.8179,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,scalar,0.0000,0.0000,0.5218,0.0000,1.0000,False,False,30,0.8007,45
cfgB_gemini,Config B Gemini-3.1-Pro,human,affine,0.4000,0.0527,0.8534,0.0000,1.0000,False,False,30,0.8123,45
cfgB_gemini,Config B Gemini-3.1-Pro,llm,raw,0.0000,0.0000,0.5218,0.0000,0.2000,False,False,15,0.9180,45
