judge,corpus,epsilon,m_annotators,n_instances,pearson_judge_vs_mean_blind,winning_rate_omega,avg_advantage_rho,n_rejected_BY_FDR,passes_alt_test,omega_ci95_lo_clopper,omega_ci95_hi_clopper
GPT-5-mini (baseline),human-authored,0.15,5,30,,0.0,0.46245614035087723,0,False,0.0,0.5218237501049814
GPT-5-mini (baseline),LLM-generated,0.15,5,15,,0.0,0.2871572871572871,0,False,0.0,0.5218237501049814
GPT-5-mini (Config B),human-authored,0.15,5,30,0.7787715957431333,0.2,0.47679197994987466,1,False,0.005050763379468115,0.7164179361180895
GPT-5-mini (Config B),LLM-generated,0.15,5,15,0.6825966585894457,0.0,0.30937950937950937,0,False,0.0,0.5218237501049814
Gemini-3.1-Pro (Config B),human-authored,0.15,5,30,0.8178924154479894,0.4,0.577844611528822,2,False,0.05274495052631566,0.8533672003653274
Gemini-3.1-Pro (Config B),LLM-generated,0.15,5,15,0.9180477598811195,0.0,0.27301587301587305,0,False,0.0,0.5218237501049814
Opus-4.7 (Config B),human-authored,0.15,5,28,0.8072856753981583,0.6,0.5411288402000476,3,True,0.14663279963467254,0.9472550494736843
Opus-4.7 (Config B),LLM-generated,0.15,5,15,0.8513204335923374,0.2,0.6329004329004329,1,False,0.005050763379468115,0.7164179361180895
DeepSeek-V4-Pro,human-authored,0.15,5,30,0.8203221712466573,0.2,0.5625563909774436,1,False,0.005050763379468115,0.7164179361180895
DeepSeek-V4-Pro,LLM-generated,0.15,5,15,0.69298701435184,0.0,0.4505050505050505,0,False,0.0,0.5218237501049814
Qwen3.5-397B-A17B,human-authored,0.15,5,30,0.7672420445996535,0.0,0.40807017543859647,0,False,0.0,0.5218237501049814
Qwen3.5-397B-A17B,LLM-generated,0.15,5,15,0.7698499197794423,0.0,0.2808080808080808,0,False,0.0,0.5218237501049814
Sonnet-4.6,human-authored,0.15,5,30,0.8123873309355696,0.4,0.571077694235589,2,False,0.05274495052631566,0.8533672003653274
Sonnet-4.6,LLM-generated,0.15,5,15,0.773447706146992,0.0,0.4505050505050505,0,False,0.0,0.5218237501049814
GPT-5.4-mini,human-authored,0.15,5,30,0.7574369599207644,0.6,0.6168421052631579,3,True,0.14663279963467254,0.9472550494736843
GPT-5.4-mini,LLM-generated,0.15,5,15,0.6350684965012052,0.0,0.40865800865800866,0,False,0.0,0.5218237501049814
