judge,judge_label,pool,tier,epsilon,omega,omega_lo_stacked_boot,omega_hi_stacked_boot,passes_point,passes_stacked_boot_lo,n_instances
baseline_gpt5,Baseline GPT-5-mini,human,raw,0.1500,0.6000,0.2000,1.0000,True,False,30
baseline_gpt5,Baseline GPT-5-mini,human,raw,0.2000,0.6000,0.2000,1.0000,True,False,30
baseline_gpt5,Baseline GPT-5-mini,human,scalar,0.1500,0.6000,0.0000,1.0000,True,False,30
baseline_gpt5,Baseline GPT-5-mini,human,scalar,0.2000,0.6000,0.0000,1.0000,True,False,30
baseline_gpt5,Baseline GPT-5-mini,human,affine,0.1500,0.6000,0.0000,1.0000,True,False,30
baseline_gpt5,Baseline GPT-5-mini,human,affine,0.2000,0.6000,0.0000,1.0000,True,False,30
baseline_gpt5,Baseline GPT-5-mini,llm,raw,0.1500,0.0000,0.0000,0.4000,False,False,15
baseline_gpt5,Baseline GPT-5-mini,llm,raw,0.2000,0.0000,0.0000,0.4000,False,False,15
baseline_gpt5,Baseline GPT-5-mini,llm,scalar,0.1500,0.0000,0.0000,0.4000,False,False,15
baseline_gpt5,Baseline GPT-5-mini,llm,scalar,0.2000,0.0000,0.0000,0.4000,False,False,15
baseline_gpt5,Baseline GPT-5-mini,llm,affine,0.1500,0.0000,0.0000,0.4000,False,False,15
baseline_gpt5,Baseline GPT-5-mini,llm,affine,0.2000,0.0000,0.0000,0.4000,False,False,15
cfgB_gpt5,Config B GPT-5-mini,human,raw,0.1500,0.2000,0.0000,0.6000,False,False,30
cfgB_gpt5,Config B GPT-5-mini,human,raw,0.2000,0.2000,0.0000,0.6000,False,False,30
cfgB_gpt5,Config B GPT-5-mini,human,scalar,0.1500,0.0000,0.0000,0.8000,False,False,30
cfgB_gpt5,Config B GPT-5-mini,human,scalar,0.2000,0.0000,0.0000,0.8000,False,False,30
cfgB_gpt5,Config B GPT-5-mini,human,affine,0.1500,0.2000,0.0000,1.0000,False,False,30
cfgB_gpt5,Config B GPT-5-mini,human,affine,0.2000,0.2000,0.0000,1.0000,False,False,30
cfgB_gpt5,Config B GPT-5-mini,llm,raw,0.1500,0.0000,0.0000,0.0000,False,False,15
cfgB_gpt5,Config B GPT-5-mini,llm,raw,0.2000,0.0000,0.0000,0.0000,False,False,15
cfgB_gpt5,Config B GPT-5-mini,llm,scalar,0.1500,0.0000,0.0000,0.4000,False,False,15
cfgB_gpt5,Config B GPT-5-mini,llm,scalar,0.2000,0.0000,0.0000,0.4000,False,False,15
cfgB_gpt5,Config B GPT-5-mini,llm,affine,0.1500,0.0000,0.0000,0.4000,False,False,15
