judge,judge_label,pool,annotator,n_picks,mean_a_scalar,mean_a_affine,mean_b_affine
baseline_gpt5,Baseline GPT-5-mini,human,grader_02@anonymized.benger.invalid,19,-0.8553,-8.5871,1.1379
baseline_gpt5,Baseline GPT-5-mini,human,grader_05@anonymized.benger.invalid,21,-0.8387,-8.3397,1.1335
baseline_gpt5,Baseline GPT-5-mini,human,grader_07@anonymized.benger.invalid,21,-0.8111,-8.2108,1.1320
baseline_gpt5,Baseline GPT-5-mini,human,grader_01@anonymized.benger.invalid,14,1.2908,-6.4407,1.1401
baseline_gpt5,Baseline GPT-5-mini,human,grader_04@anonymized.benger.invalid,15,-0.4149,-3.2108,1.0502
baseline_gpt5,Baseline GPT-5-mini,llm,grader_01@anonymized.benger.invalid,7,1.4857,-5.9692,1.1351
baseline_gpt5,Baseline GPT-5-mini,llm,grader_04@anonymized.benger.invalid,9,-0.3231,-2.9047,1.0461
baseline_gpt5,Baseline GPT-5-mini,llm,grader_07@anonymized.benger.invalid,9,-0.6364,-7.7943,1.1272
baseline_gpt5,Baseline GPT-5-mini,llm,grader_02@anonymized.benger.invalid,11,-0.6921,-7.7390,1.1254
baseline_gpt5,Baseline GPT-5-mini,llm,grader_05@anonymized.benger.invalid,9,-0.8018,-7.9880,1.1278
cfgB_gpt5,Config B GPT-5-mini,human,grader_02@anonymized.benger.invalid,19,-18.4695,-7.0276,0.8447
cfgB_gpt5,Config B GPT-5-mini,human,grader_05@anonymized.benger.invalid,21,-18.4968,-7.1090,0.8458
cfgB_gpt5,Config B GPT-5-mini,human,grader_07@anonymized.benger.invalid,21,-18.3988,-6.6853,0.8410
cfgB_gpt5,Config B GPT-5-mini,human,grader_01@anonymized.benger.invalid,14,-17.1265,-8.4674,0.8823
cfgB_gpt5,Config B GPT-5-mini,human,grader_04@anonymized.benger.invalid,15,-17.8018,-1.9348,0.7833
cfgB_gpt5,Config B GPT-5-mini,llm,grader_01@anonymized.benger.invalid,7,-16.5102,-7.6257,0.8786
cfgB_gpt5,Config B GPT-5-mini,llm,grader_04@anonymized.benger.invalid,9,-17.2705,-1.6348,0.7856
cfgB_gpt5,Config B GPT-5-mini,llm,grader_07@anonymized.benger.invalid,9,-18.0467,-6.3293,0.8411
cfgB_gpt5,Config B GPT-5-mini,llm,grader_02@anonymized.benger.invalid,11,-18.1467,-6.3344,0.8397
cfgB_gpt5,Config B GPT-5-mini,llm,grader_05@anonymized.benger.invalid,9,-18.1944,-6.3485,0.8392
cfgB_opus,Config B Opus-4.7,human,grader_02@anonymized.benger.invalid,17,0.1583,5.7574,0.8996
cfgB_opus,Config B Opus-4.7,human,grader_05@anonymized.benger.invalid,19,0.1347,5.7682,0.8994
cfgB_opus,Config B Opus-4.7,human,grader_07@anonymized.benger.invalid,20,0.2155,5.8482,0.8990
cfgB_opus,Config B Opus-4.7,human,grader_01@anonymized.benger.invalid,13,0.6212,8.6137,0.8597
cfgB_opus,Config B Opus-4.7,human,grader_04@anonymized.benger.invalid,15,1.4435,6.6302,0.9056
cfgB_opus,Config B Opus-4.7,llm,grader_01@anonymized.benger.invalid,7,1.0693,9.3380,0.8540
cfgB_opus,Config B Opus-4.7,llm,grader_04@anonymized.benger.invalid,9,1.7654,7.2227,0.9004
cfgB_opus,Config B Opus-4.7,llm,grader_07@anonymized.benger.invalid,9,0.4286,6.6623,0.8888
