judge,corpus,grader_id,n_j,rho_f_judge_wins,rho_h_reviewer_wins,d_bar,test,p_value_one_sided,rejected_BY_FDR
GPT-5-mini (baseline),pooled (human + LLM),grader_01,21,0.42857142857142855,0.5714285714285714,0.14285714285714285,wilcoxon,0.10145854949951172,False
GPT-5-mini (baseline),pooled (human + LLM),grader_02,30,0.43333333333333335,0.5666666666666667,0.13333333333333333,t,0.4642318848812448,False
GPT-5-mini (baseline),pooled (human + LLM),grader_04,24,0.4166666666666667,0.625,0.20833333333333334,wilcoxon,0.1951233148574829,False
GPT-5-mini (baseline),pooled (human + LLM),grader_05,30,0.4,0.6,0.2,t,0.6072949114704986,False
GPT-5-mini (baseline),pooled (human + LLM),grader_07,30,0.3333333333333333,0.6666666666666666,0.3333333333333333,t,0.8481642589875265,False
GPT-5-mini (Config B),pooled (human + LLM),grader_01,21,0.42857142857142855,0.5714285714285714,0.14285714285714285,wilcoxon,0.10145854949951172,False
GPT-5-mini (Config B),pooled (human + LLM),grader_02,30,0.4666666666666667,0.5333333333333333,0.06666666666666667,t,0.3281121611206512,False
GPT-5-mini (Config B),pooled (human + LLM),grader_04,24,0.4583333333333333,0.5416666666666666,0.08333333333333333,wilcoxon,0.047547996044158936,False
GPT-5-mini (Config B),pooled (human + LLM),grader_05,30,0.43333333333333335,0.6,0.16666666666666666,t,0.5365818384141627,False
GPT-5-mini (Config B),pooled (human + LLM),grader_07,30,0.3,0.7,0.4,t,0.9236907833018375,False
Gemini-3.1-Pro (Config B),pooled (human + LLM),grader_01,21,0.5238095238095238,0.5238095238095238,0.0,wilcoxon,0.04109764099121094,False
Gemini-3.1-Pro (Config B),pooled (human + LLM),grader_02,30,0.4666666666666667,0.5333333333333333,0.06666666666666667,t,0.3281121611206512,False
Gemini-3.1-Pro (Config B),pooled (human + LLM),grader_04,24,0.5416666666666666,0.5,-0.041666666666666664,wilcoxon,0.018324613571166992,False
Gemini-3.1-Pro (Config B),pooled (human + LLM),grader_05,30,0.43333333333333335,0.6,0.16666666666666666,t,0.5365818384141627,False
Gemini-3.1-Pro (Config B),pooled (human + LLM),grader_07,30,0.4,0.6,0.2,t,0.6072949114704986,False
Opus-4.7 (Config B),pooled (human + LLM),grader_01,20,0.45,0.55,0.1,wilcoxon,0.07682323455810547,False
Opus-4.7 (Config B),pooled (human + LLM),grader_02,28,0.5714285714285714,0.4642857142857143,-0.10714285714285714,wilcoxon,0.004429858177900314,True
Opus-4.7 (Config B),pooled (human + LLM),grader_04,24,0.7083333333333334,0.2916666666666667,-0.4166666666666667,wilcoxon,8.7738037109375e-05,True
Opus-4.7 (Config B),pooled (human + LLM),grader_05,28,0.6428571428571429,0.35714285714285715,-0.2857142857142857,wilcoxon,0.00019070133566856384,True
Opus-4.7 (Config B),pooled (human + LLM),grader_07,29,0.4827586206896552,0.5517241379310345,0.06896551724137931,wilcoxon,0.03799443319439888,False
DeepSeek-V4-Pro,pooled (human + LLM),grader_01,21,0.42857142857142855,0.6666666666666666,0.23809523809523808,wilcoxon,0.32891368865966797,False
DeepSeek-V4-Pro,pooled (human + LLM),grader_02,30,0.5666666666666667,0.43333333333333335,-0.13333333333333333,t,0.06725669063847409,False
DeepSeek-V4-Pro,pooled (human + LLM),grader_04,24,0.625,0.4583333333333333,-0.16666666666666666,wilcoxon,0.005758047103881836,False
DeepSeek-V4-Pro,pooled (human + LLM),grader_05,30,0.6,0.5,-0.1,t,0.08212009245349046,False
DeepSeek-V4-Pro,pooled (human + LLM),grader_07,30,0.4,0.6,0.2,t,0.6072949114704986,False
Qwen3.5-397B-A17B,pooled (human + LLM),grader_01,21,0.3333333333333333,0.7142857142857143,0.38095238095238093,wilcoxon,0.5541338920593262,False
Qwen3.5-397B-A17B,pooled (human + LLM),grader_02,30,0.36666666666666664,0.6666666666666666,0.3,t,0.8023166250031434,False
Qwen3.5-397B-A17B,pooled (human + LLM),grader_04,24,0.4583333333333333,0.5416666666666666,0.08333333333333333,wilcoxon,0.047547996044158936,False
Qwen3.5-397B-A17B,pooled (human + LLM),grader_05,30,0.3333333333333333,0.6666666666666666,0.3333333333333333,t,0.8481642589875265,False
Qwen3.5-397B-A17B,pooled (human + LLM),grader_07,30,0.3333333333333333,0.6666666666666666,0.3333333333333333,t,0.8481642589875265,False
Sonnet-4.6,pooled (human + LLM),grader_01,21,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.36673498153686523,False
Sonnet-4.6,pooled (human + LLM),grader_02,30,0.5333333333333333,0.5333333333333333,0.0,t,0.2049603163690401,False
Sonnet-4.6,pooled (human + LLM),grader_04,24,0.5833333333333334,0.4166666666666667,-0.16666666666666666,wilcoxon,0.002665221691131592,True
Sonnet-4.6,pooled (human + LLM),grader_05,30,0.6666666666666666,0.3333333333333333,-0.3333333333333333,t,0.004948014126376414,True
Sonnet-4.6,pooled (human + LLM),grader_07,30,0.5333333333333333,0.4666666666666667,-0.06666666666666667,t,0.12588484398454133,False
GPT-5.4-mini,pooled (human + LLM),grader_01,21,0.47619047619047616,0.5238095238095238,0.047619047619047616,wilcoxon,0.044399261474609375,False
GPT-5.4-mini,pooled (human + LLM),grader_02,30,0.4666666666666667,0.5333333333333333,0.06666666666666667,t,0.3281121611206512,False
GPT-5.4-mini,pooled (human + LLM),grader_04,24,0.7083333333333334,0.3333333333333333,-0.375,wilcoxon,0.0002472400665283203,True
GPT-5.4-mini,pooled (human + LLM),grader_05,30,0.6,0.4,-0.2,t,0.032130700950637164,False
GPT-5.4-mini,pooled (human + LLM),grader_07,30,0.4666666666666667,0.5333333333333333,0.06666666666666667,t,0.3281121611206512,False
