direction,metric_bug,system,bereich,task_id,generation_id,gold_decision,model_decision,accuracy_match,norm_match,result_correctness_40,result_correctness_frac,subsumption_25,judge_total_100,question,model_begruendung,judge_reason
lenient,1,deepseek-ai/DeepSeek-V4-Pro,strafrecht,2caa8142-533f-4054-8cee-ed434b6a6a7b,afb83a85-8dbb-4637-927c-d84fe434e779,Nein.,Nein,0,1,40.0,1.0,25.0,100.0,"Vater V verabreicht seinem 12-jährigen Sohn S einen leichten Klaps auf den Hinterkopf, nachdem dieser wiederholt die Hausaufgaben verweigert hat. V wird wegen Körperverletzung gemäß § 223 StGB angezeigt und beruft sich auf ein gewohnheitsrechtlich begründetes Züchtigungsrecht von Eltern.","Ein gewohnheitsrechtliches Züchtigungsrecht der Eltern existiert nicht mehr. Spätestens mit dem Gesetz zur Ächtung von Gewalt in der Erziehung vom 2. November 2000 wurde § 1631 Abs. 2 BGB dahingehend geändert, dass Kinder ein Recht auf gewaltfreie Erziehung haben und körperliche Bestrafungen, seelische Verletzungen und andere entwürdigende Maßnahmen unzulässig sind. Diese gesetzliche Regelung hat ein etwa zuvor bestehendes Gewohnheitsrecht abgelöst und derogiert. Gewohnheitsrecht kann nur entstehen oder fortbestehen, wenn es nicht durch formelles Gesetz verdrängt wird. Da der Gesetzgeber die elterliche Züchtigung ausdrücklich und umfassend verboten hat, ist für ein abweichendes Gewohnheitsre","Die Antwort ist im Ergebnis vollständig richtig: Gewohnheitsrecht ist hier nicht anwendbar, weil das frühere elterliche Züchtigungsrecht durch § 1631 Abs. 2 BGB ausgeschlossen wurde."
lenient,1,gpt-5.4,strafrecht,2caa8142-533f-4054-8cee-ed434b6a6a7b,02caaf5d-3c92-4cd4-b1d4-62f2dea7c0d8,Nein.,Nein,0,1,40.0,1.0,23.5,97.5,"Vater V verabreicht seinem 12-jährigen Sohn S einen leichten Klaps auf den Hinterkopf, nachdem dieser wiederholt die Hausaufgaben verweigert hat. V wird wegen Körperverletzung gemäß § 223 StGB angezeigt und beruft sich auf ein gewohnheitsrechtlich begründetes Züchtigungsrecht von Eltern.","Ein gewohnheitsrechtliches Züchtigungsrecht der Eltern ist nicht anwendbar. Zwar erfüllt der leichte Klaps grundsätzlich den Tatbestand der Körperverletzung nach § 223 StGB. Ein früher diskutiertes elterliches Züchtigungsrecht ist jedoch jedenfalls heute ausgeschlossen. Maßgeblich ist § 1631 Abs. 2 BGB, wonach Kinder ein Recht auf gewaltfreie Erziehung haben; körperliche Bestrafungen sind unzulässig. Diese gesetzgeberische Wertung schließt die Anerkennung eines entgegenstehenden Gewohnheitsrechts aus. V kann sich daher nicht auf Gewohnheitsrecht berufen.","Die Entscheidung 'Nein' ist vollständig richtig. Gewohnheitsrecht ist hier nicht anwendbar, weil das frühere elterliche Züchtigungsrecht durch § 1631 Abs. 2 BGB verdrängt bzw. abgeschafft wurde."
lenient,1,gpt-5.4-mini,strafrecht,2caa8142-533f-4054-8cee-ed434b6a6a7b,f6af6713-7d0d-4789-8f3c-d5d4456f9732,Nein.,Nein,0,1,40.0,1.0,21.5,92.5,"Vater V verabreicht seinem 12-jährigen Sohn S einen leichten Klaps auf den Hinterkopf, nachdem dieser wiederholt die Hausaufgaben verweigert hat. V wird wegen Körperverletzung gemäß § 223 StGB angezeigt und beruft sich auf ein gewohnheitsrechtlich begründetes Züchtigungsrecht von Eltern.","Ein gewohnheitsrechtlich begründetes Züchtigungsrecht der Eltern ist nach deutschem Recht nicht anwendbar. § 1631 Abs. 2 BGB schließt körperliche Bestrafungen ausdrücklich aus; ein Rechtfertigungsgrund für eine Körperverletzung nach § 223 StGB besteht daher nicht. Der leichte Klaps auf den Hinterkopf erfüllt zwar den Tatbestand, ist aber nicht durch Gewohnheitsrecht gerechtfertigt.",Die Entscheidung 'Nein' ist zutreffend. Nach der Neufassung des § 1631 Abs. 2 BGB besteht kein gewohnheitsrechtlich begründetes elterliches Züchtigungsrecht mehr; daher kann Gewohnheitsrecht die Körperverletzung nicht rechtfertigen.
lenient,1,gemini-3.1-pro-preview,strafrecht,2caa8142-533f-4054-8cee-ed434b6a6a7b,5830e6d7-e4a7-41d3-a60d-89cca6b65eb1,Nein.,Nein,0,1,40.0,1.0,23.0,97.0,"Vater V verabreicht seinem 12-jährigen Sohn S einen leichten Klaps auf den Hinterkopf, nachdem dieser wiederholt die Hausaufgaben verweigert hat. V wird wegen Körperverletzung gemäß § 223 StGB angezeigt und beruft sich auf ein gewohnheitsrechtlich begründetes Züchtigungsrecht von Eltern.",Ein gewohnheitsrechtliches Züchtigungsrecht der Eltern existiert im deutschen Recht nicht mehr. Mit der Einführung des § 1631 Abs. 2 BGB im Jahr 2000 hat der Gesetzgeber ausdrücklich das Recht des Kindes auf gewaltfreie Erziehung statuiert und körperliche Bestrafungen ausnahmslos für unzulässig erklärt. Dieses ausdrückliche Gesetzesrecht verdrängt ein etwaig früher bestehendes Gewohnheitsrecht vollständig. Eine Rechtfertigung der Körperverletzung nach § 223 StGB über ein gewohnheitsrechtliches Züchtigungsrecht scheidet daher aus.,"Die Entscheidung ist zutreffend: Ein gewohnheitsrechtliches elterliches Züchtigungsrecht ist nicht mehr anwendbar, da § 1631 Abs. 2 BGB das Recht auf gewaltfreie Erziehung statuiert und damit entgegenstehendes Gewohnheitsrecht verdrängt."
lenient,1,claude-sonnet-4-6,strafrecht,2caa8142-533f-4054-8cee-ed434b6a6a7b,180d2f98-e3e2-4ed7-bd46-56d6bf52b314,Nein.,Nein,0,1,40.0,1.0,24.5,98.5,"Vater V verabreicht seinem 12-jährigen Sohn S einen leichten Klaps auf den Hinterkopf, nachdem dieser wiederholt die Hausaufgaben verweigert hat. V wird wegen Körperverletzung gemäß § 223 StGB angezeigt und beruft sich auf ein gewohnheitsrechtlich begründetes Züchtigungsrecht von Eltern.","Im Strafrecht gilt das Gesetzlichkeitsprinzip gemäß Art. 103 Abs. 2 GG, § 1 StGB: Keine Strafe ohne Gesetz (nulla poena sine lege scripta). Dieses Prinzip schließt Gewohnheitsrecht als Grundlage strafbegründender oder strafschärfender Normen aus. Umgekehrt ist Gewohnheitsrecht zugunsten des Täters – etwa als Rechtfertigungsgrund – grundsätzlich denkbar. Ein elterliches Züchtigungsrecht war zwar historisch als Gewohnheitsrecht anerkannt, wurde jedoch durch § 1631 Abs. 2 BGB (i.d.F. seit 2000) ausdrücklich abgeschafft: Kinder haben ein Recht auf gewaltfreie Erziehung; körperliche Bestrafungen sind untersagt. Mit dieser kodifizierten Regelung ist das frühere Gewohnheitsrecht derogiert. Ein Gewo","Die Entscheidung ist eindeutig richtig: Gewohnheitsrecht ist hier nicht anwendbar, weil das frühere elterliche Züchtigungsrecht durch § 1631 Abs. 2 BGB verdrängt bzw. abgeschafft wurde. Die Antwort trifft das Ergebnis vollständig und ohne relevante Fehler."
lenient,1,claude-opus-4-7,strafrecht,2caa8142-533f-4054-8cee-ed434b6a6a7b,1ba5944e-477b-403d-a89a-078e3716ada4,Nein.,Nein,0,1,40.0,1.0,24.5,98.5,"Vater V verabreicht seinem 12-jährigen Sohn S einen leichten Klaps auf den Hinterkopf, nachdem dieser wiederholt die Hausaufgaben verweigert hat. V wird wegen Körperverletzung gemäß § 223 StGB angezeigt und beruft sich auf ein gewohnheitsrechtlich begründetes Züchtigungsrecht von Eltern.","Ein gewohnheitsrechtliches elterliches Züchtigungsrecht ist nicht (mehr) anwendbar. Zum einen verbietet Art. 103 Abs. 2 GG, § 1 StGB im Strafrecht zulasten des Täters ohnehin nur die Begründung oder Verschärfung von Strafbarkeit durch Gewohnheitsrecht; zugunsten des Täters wirkendes Gewohnheitsrecht (Rechtfertigungsgrund) wäre zwar grundsätzlich denkbar. Ein solches gewohnheitsrechtliches Züchtigungsrecht der Eltern besteht jedoch seit der Neufassung des § 1631 Abs. 2 BGB im Jahr 2000 nicht mehr: Kinder haben danach ein Recht auf gewaltfreie Erziehung; körperliche Bestrafungen sind ausdrücklich unzulässig. Damit hat der Gesetzgeber ein etwaiges Gewohnheitsrecht bewusst derogiert. Der Klaps d",Die Entscheidung 'Nein' ist zutreffend. Gewohnheitsrechtliche Rechtfertigung eines elterlichen Züchtigungsrechts besteht nicht mehr; das frühere Gewohnheitsrecht ist durch § 1631 Abs. 2 BGB verdrängt.
lenient,1,gpt-5.4,strafrecht,2c16176d-1de2-4fb0-bbb8-1a6c78baef66,3bb17b69-e567-403a-aea5-4abafb8ec1b8,Nein.,Nein,0,1,40.0,1.0,21.5,94.5,"Arzt A führt bei Patient P eine medizinisch indizierte Operation durch, klärt ihn jedoch nicht über alle Risiken auf, da in seiner Fachdisziplin seit Jahrzehnten nur über schwerwiegende Komplikationen aufgeklärt wird. P erleidet eine nicht erwähnte Komplikation und zeigt A wegen Körperverletzung an.","Gewohnheitsrecht ist hier nicht anwendbar. Für die strafrechtliche Rechtfertigung des ärztlichen Eingriffs kommt es auf eine wirksame Einwilligung an; diese setzt eine ordnungsgemäße Aufklärung voraus. Maßgeblich sind die rechtlichen Anforderungen an die Risikoaufklärung, nicht bloße fachliche Übung. Eine jahrzehntelange Praxis in der Ärzteschaft begründet schon deshalb kein Gewohnheitsrecht, weil es an einer allgemeinen, rechtsüberzeugungsgetragenen Anerkennung als verbindliche Rechtsnorm fehlt; zudem kann Berufsgewohnheit gesetzliche und richterrechtlich entwickelte Schutzanforderungen an die Patienteneinwilligung nicht verdrängen. Da P über die eingetretene Komplikation nicht aufgeklärt w",Die Entscheidung 'Nein' ist klar zutreffend. Gewohnheitsrecht ist hier nicht anwendbar und kann die strafbarkeitsrelevante Aufklärungspflicht nicht einschränken.
lenient,1,gemini-3.1-flash-lite-preview,strafrecht,2c16176d-1de2-4fb0-bbb8-1a6c78baef66,22eb5033-cb58-44f6-9094-6ca316887a68,Nein.,Nein,0,1,40.0,1.0,23.5,96.5,"Arzt A führt bei Patient P eine medizinisch indizierte Operation durch, klärt ihn jedoch nicht über alle Risiken auf, da in seiner Fachdisziplin seit Jahrzehnten nur über schwerwiegende Komplikationen aufgeklärt wird. P erleidet eine nicht erwähnte Komplikation und zeigt A wegen Körperverletzung an.","Die Aufklärungspflicht des Arztes unterliegt strikten gesetzlichen Anforderungen gemäß § 630e BGB. Gewohnheitsrecht kann weder die gesetzlich normierten Aufklärungsstandards derogieren noch das durch die Rechtsprechung (insbes. BGH) konkretisierte Aufklärungsgebot durch eine bloße fachärztliche Übung ersetzen, da es sich um eine zwingende Schutzvorschrift zugunsten des Patienten handelt. Eine langjährige, aber rechtswidrige Praxis kann kein Gewohnheitsrecht begründen, das gegen den Schutzzweck des § 630e BGB verstößt.",Die Entscheidung 'Nein' ist zutreffend. Nach der Referenzlösung kann eine strafbarkeitshindernde eingeschränkte Aufklärungspflicht nicht durch Gewohnheitsrecht begründet werden.
lenient,1,gpt-5.4,strafrecht,d0c3b90a-ad95-4a45-9910-49f958f0faca,2364aca3-02a2-4c8f-9a85-5a3d59361c72,Nein.,Nein,0,1,40.0,1.0,24.0,99.0,"In einer Gemeinde wird seit über 30 Jahren wöchentlich ein privates Pokerturnier mit Geldeinsätzen veranstaltet. Die lokale Polizei und Behörden wissen davon, schreiten aber nie ein. Organisator O wird nun wegen unerlaubter Veranstaltung eines Glücksspiels (§ 284 StGB) angezeigt und beruft sich auf regionales Gewohnheitsrecht.","Gewohnheitsrecht ist im Strafrecht nicht anwendbar, wenn dadurch Strafbarkeit ausgeschlossen oder eingeschränkt werden soll. Maßgeblich ist der Grundsatz nullum crimen sine lege aus Art. 103 Abs. 2 GG und § 1 StGB: Strafbarkeit und ihre Grenzen richten sich nach dem Gesetz, nicht nach regionaler Übung. Dass das Pokerturnier seit über 30 Jahren geduldet wird, begründet daher kein strafbarkeitsausschließendes Gewohnheitsrecht. Die behördliche Untätigkeit kann allenfalls für Vertrauen oder Verfolgungspraxis sprechen, hebt § 284 StGB aber nicht auf.",Die Entscheidung 'Nein' ist zutreffend. Gewohnheitsrecht kann im Strafrecht keine Strafbarkeit ausschließen oder begrenzen; die Duldung durch Behörden ändert daran nichts.
lenient,1,claude-opus-4-7,strafrecht,d0c3b90a-ad95-4a45-9910-49f958f0faca,1e5af26c-1165-41b0-b239-8e4b775bdb7d,Nein.,Nein,0,1,40.0,1.0,23.5,97.5,"In einer Gemeinde wird seit über 30 Jahren wöchentlich ein privates Pokerturnier mit Geldeinsätzen veranstaltet. Die lokale Polizei und Behörden wissen davon, schreiten aber nie ein. Organisator O wird nun wegen unerlaubter Veranstaltung eines Glücksspiels (§ 284 StGB) angezeigt und beruft sich auf regionales Gewohnheitsrecht.","Im Strafrecht gilt der Gesetzlichkeitsgrundsatz nach Art. 103 Abs. 2 GG, § 1 StGB (""nullum crimen, nulla poena sine lege scripta""). Strafbarkeit und Straflosigkeit dürfen ausschließlich durch geschriebenes Gesetz begründet oder aufgehoben werden. Strafbarkeitsbegründendes wie strafbarkeitsausschließendes Gewohnheitsrecht zulasten der Allgemeinheit ist daher unzulässig; insbesondere kann ein bestehender Straftatbestand (§ 284 StGB) nicht durch regionale Übung oder bloße behördliche Duldung derogiert werden. Die jahrzehntelange Untätigkeit der Behörden begründet weder eine Rechtsüberzeugung im Sinne einer opinio iuris noch einen Rechtfertigungs- oder Entschuldigungsgrund. O kann sich folglich",Die Entscheidung ist richtig: Gewohnheitsrecht ist zur Legalisierung einer sonst strafbaren unerlaubten Glücksspielveranstaltung nicht anwendbar. Die lange behördliche Duldung ändert daran nichts.
