judge,corpus,grader_id,n_j,rho_f_judge_wins,rho_h_reviewer_wins,d_bar,test,p_value_one_sided,rejected_BY_FDR
GPT-5-mini (baseline),human-authored,grader_01,14,0.5714285714285714,0.42857142857142855,-0.14285714285714285,wilcoxon,0.02471923828125,False
GPT-5-mini (baseline),human-authored,grader_02,19,0.5789473684210527,0.42105263157894735,-0.15789473684210525,wilcoxon,0.007986068725585938,False
GPT-5-mini (baseline),human-authored,grader_04,15,0.4,0.6666666666666666,0.26666666666666666,wilcoxon,0.380767822265625,False
GPT-5-mini (baseline),human-authored,grader_05,21,0.42857142857142855,0.5714285714285714,0.14285714285714285,wilcoxon,0.10145854949951172,False
GPT-5-mini (baseline),human-authored,grader_07,21,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.36673498153686523,False
GPT-5-mini (baseline),LLM-generated,grader_01,7,0.14285714285714285,0.8571428571428571,0.7142857142857143,wilcoxon,0.890625,False
GPT-5-mini (baseline),LLM-generated,grader_02,11,0.18181818181818182,0.8181818181818182,0.6363636363636364,wilcoxon,0.86083984375,False
GPT-5-mini (baseline),LLM-generated,grader_04,9,0.4444444444444444,0.5555555555555556,0.1111111111111111,wilcoxon,0.212890625,False
GPT-5-mini (baseline),LLM-generated,grader_05,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.455078125,False
GPT-5-mini (baseline),LLM-generated,grader_07,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.455078125,False
GPT-5-mini (Config B),human-authored,grader_01,14,0.5714285714285714,0.42857142857142855,-0.14285714285714285,wilcoxon,0.02471923828125,False
GPT-5-mini (Config B),human-authored,grader_02,19,0.631578947368421,0.3684210526315789,-0.2631578947368421,wilcoxon,0.0026645660400390625,True
GPT-5-mini (Config B),human-authored,grader_04,15,0.4666666666666667,0.5333333333333333,0.06666666666666667,wilcoxon,0.09381103515625,False
GPT-5-mini (Config B),human-authored,grader_05,21,0.42857142857142855,0.6190476190476191,0.19047619047619047,wilcoxon,0.19629192352294922,False
GPT-5-mini (Config B),human-authored,grader_07,21,0.2857142857142857,0.7142857142857143,0.42857142857142855,wilcoxon,0.5675563812255859,False
GPT-5-mini (Config B),LLM-generated,grader_01,7,0.14285714285714285,0.8571428571428571,0.7142857142857143,wilcoxon,0.890625,False
GPT-5-mini (Config B),LLM-generated,grader_02,11,0.18181818181818182,0.8181818181818182,0.6363636363636364,wilcoxon,0.86083984375,False
GPT-5-mini (Config B),LLM-generated,grader_04,9,0.4444444444444444,0.5555555555555556,0.1111111111111111,wilcoxon,0.212890625,False
